tree_id;max_buds;80%;;treatment;01.02.2021;02.02.2021;03.02.2021;04.02.2021;05.02.2021;06.02.2021;07.02.2021;08.02.2021;09.02.2021;10.02.2021;11.02.2021;12.02.2021;13.02.2021;14.02.2021;15.02.2021;16.02.2021;17.02.2021;18.02.2021;19.02.2021;20.02.2021;21.02.2021;22.02.2021;23.02.2021;24.02.2021;25.02.2021;26.02.2021;27.02.2021;28.02.2021;01.03.2021;02.03.2021;03.03.2021;04.03.2021;05.03.2021
1;71;56,8;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;14;15;26;33;46;9999;9999;9999;9999;9999;9999;9999;9999
2;87;69,6;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;34;42;45;48;50;52;52;52;56;9999;9999;9999;9999;9999;9999;9999;9999
3;57;45,6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;27;27;32;36;37;47;51;49;9999;9999;9999;9999;9999;9999;9999;9999
4;124;99,2;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;24;34;49;9999;9999;9999;9999;9999;9999;9999;9999
5;91;72,8;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11;20;9999;9999;9999;9999;9999;9999;9999;9999
6;73;58,4;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;6;14;7;9999;9999;9999;9999;9999;9999;9999;9999
7;39;31,2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;19;25;28;31;32;32;32;32;37;37;9999;9999;9999;9999;9999;9999;9999;9999
8;60;48;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;3;6;4;21;22;30;31;35;42;46;48;50;47;9999;9999;9999;9999;9999;9999;9999;9999
9;58;46,4;FALSCH;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;9;21;32;9999;9999;9999;9999;9999;9999;9999;9999
10;40;32;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;25;31;32;37;38;40;9999;9999;9999;9999;9999;9999;9999;9999
11;86;68,8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;18;37;56;50;56;63;65;68;77;77;77;9999;9999;9999;9999;9999;9999;9999;9999
12;95;76;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;13;23;55;57;62;72;72;73;80;80;9999;9999;9999;9999;9999;9999;9999;9999
13;85;68;FALSCH;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11;11;24;35;46;63;59;9999;9999;9999;9999;9999;9999;9999;9999
14;49;39,2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;10;26;28;39;41;42;44;44;48;48;9999;9999;9999;9999;9999;9999;9999;9999
